City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,New Norfolk,AU,2022-02-14 15:31:06,-42.7826,147.0587,60.75,75,51,0.85
1,Isangel,VU,2022-02-14 15:32:19,-19.55,169.2667,78.91,89,20,0.0
2,Rikitea,PF,2022-02-14 15:31:00,-23.1203,-134.9692,77.86,70,70,9.01
3,Ushuaia,AR,2022-02-14 15:31:17,-54.8,-68.3,49.66,46,75,9.22
4,Bethel,US,2022-02-14 15:31:33,41.3712,-73.414,21.04,48,0,16.11
5,Kapaa,US,2022-02-14 15:31:39,22.0752,-159.319,64.72,88,75,6.91
6,Tasiilaq,GL,2022-02-14 15:31:59,65.6145,-37.6368,23.16,61,100,46.39
7,Priyutovo,RU,2022-02-14 15:33:34,53.9,53.9333,9.45,96,100,5.84
8,Dogondoutchi,NE,2022-02-14 15:33:34,13.6393,4.0287,96.39,7,54,7.31
9,Hobart,AU,2022-02-14 15:29:09,-42.8794,147.3294,61.11,91,100,5.75
10,Mataura,NZ,2022-02-14 15:31:26,-46.1927,168.8643,49.48,98,100,1.1
11,Thompson,CA,2022-02-14 15:28:49,55.7435,-97.8558,-29.04,68,0,5.75
12,Hermanus,ZA,2022-02-14 15:31:54,-34.4187,19.2345,80.8,63,0,21.88
13,Bambous Virieux,MU,2022-02-14 15:31:21,-20.3428,57.7575,82.65,83,75,11.5
14,Hilo,US,2022-02-14 15:29:29,19.7297,-155.09,65.93,92,100,4.61
15,Nelson Bay,AU,2022-02-14 15:33:36,-32.7167,152.15,71.1,83,68,1.01
16,Busselton,AU,2022-02-14 15:31:21,-33.65,115.3333,73.04,63,0,14.88
17,Marzuq,YE,2022-02-14 15:33:37,14.4,46.4667,66.16,32,3,6.71
18,Geraldton,AU,2022-02-14 15:33:37,-28.7667,114.6,75.61,88,40,8.05
19,Khatanga,RU,2022-02-14 15:33:38,71.9667,102.5,-28.05,100,29,3.36
20,Mount Isa,AU,2022-02-14 15:33:38,-20.7333,139.5,73.17,78,95,4.61
21,Upernavik,GL,2022-02-14 15:31:29,72.7868,-56.1549,-10.77,97,100,4.72
22,Ponta Do Sol,PT,2022-02-14 15:31:13,32.6667,-17.1,67.01,72,60,4.56
23,Praya,CV,2022-02-14 15:33:10,14.9215,-23.5087,79.34,47,0,20.71
24,Mar Del Plata,AR,2022-02-14 15:31:34,-38.0023,-57.5575,75.22,57,0,9.22
25,Lorengau,PG,2022-02-14 15:32:53,-2.0226,147.2712,80.6,82,32,5.03
26,Yellowknife,CA,2022-02-14 15:31:02,62.456,-114.3525,-15.59,82,75,6.91
27,Souillac,MU,2022-02-14 15:32:53,-20.5167,57.5167,82.78,83,75,11.5
28,Port Blair,IN,2022-02-14 15:33:43,11.6667,92.75,78.84,78,20,2.3
29,Ahipara,NZ,2022-02-14 15:31:38,-35.1667,173.1667,59.72,82,0,7.34
30,Chuy,UY,2022-02-14 15:31:27,-33.6971,-53.4616,79.74,39,0,13.44
31,Asau,RO,2022-02-14 15:32:59,46.4333,26.4,38.39,64,73,1.48
32,Jamestown,US,2022-02-14 15:27:27,42.097,-79.2353,14.09,60,100,5.75
33,Cape Town,ZA,2022-02-14 15:27:31,-33.9258,18.4232,91.11,39,0,12.66
34,Loutra,GR,2022-02-14 15:33:44,39.0569,26.545,48.9,57,40,8.05
35,Clermont,FR,2022-02-14 15:33:44,49.5,2.4167,53.24,66,6,11.07
36,Cabo San Lucas,MX,2022-02-14 15:30:42,22.8909,-109.9124,74.61,45,0,5.75
37,Chavakkad,IN,2022-02-14 15:33:45,10.5333,76.05,81.77,77,1,4.88
38,Bluff,NZ,2022-02-14 15:31:32,-46.6,168.3333,49.8,90,100,8.97
39,Sinop,TR,2022-02-14 15:33:46,41.7711,34.8709,35.29,92,100,0.45
40,Cidreira,BR,2022-02-14 15:33:46,-30.1811,-50.2056,79.18,39,0,11.61
41,Butaritari,KI,2022-02-14 15:31:27,3.0707,172.7902,81.3,77,69,14.85
42,Katsuura,JP,2022-02-14 15:33:46,35.1333,140.3,41.14,66,35,6.55
43,Constitucion,CL,2022-02-14 15:32:52,-35.3333,-72.4167,69.42,62,4,6.78
44,Lebu,CL,2022-02-14 15:31:20,-37.6167,-73.65,64.81,68,22,8.05
